image,emotion,generated_review
angry/PrivateTest_10131363.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_10304478.jpg,fear,I felt uneasy and worried about how this behaved.
angry/PrivateTest_1054527.jpg,sad,This left me feeling down; it didn't meet my expectations.
angry/PrivateTest_10590091.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_1109992.jpg,fear,I felt uneasy and worried about how this behaved.
angry/PrivateTest_11296953.jpg,fear,I felt uneasy and worried about how this behaved.
angry/PrivateTest_12000629.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_12008383.jpg,angry,I was upset by this and found it frustrating.
angry/PrivateTest_12191716.jpg,happy,This made my day; I felt very happy and pleased.
angry/PrivateTest_1221822.jpg,angry,I was upset by this and found it frustrating.
angry/PrivateTest_12403575.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_12766285.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_12846357.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_1290484.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_12912780.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_13164119.jpg,angry,I was upset by this and found it frustrating.
angry/PrivateTest_13278552.jpg,angry,Very annoyed — this was unacceptable and angry-making.
angry/PrivateTest_13463625.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_13541561.jpg,sad,This left me feeling down; it didn't meet my expectations.
angry/PrivateTest_13664224.jpg,fear,This caused me concern and some anxiety.
angry/PrivateTest_14325168.jpg,angry,I was upset by this and found it frustrating.
angry/PrivateTest_14426977.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_14433751.jpg,angry,Very annoyed — this was unacceptable and angry-making.
angry/PrivateTest_14444117.jpg,happy,This made my day; I felt very happy and pleased.
angry/PrivateTest_14482875.jpg,happy,This made my day; I felt very happy and pleased.
angry/PrivateTest_14494003.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_14565821.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_14596578.jpg,angry,Very annoyed — this was unacceptable and angry-making.
angry/PrivateTest_14740105.jpg,fear,I felt uneasy and worried about how this behaved.
angry/PrivateTest_14769246.jpg,fear,I felt uneasy and worried about how this behaved.
angry/PrivateTest_1488292.jpg,happy,This made my day; I felt very happy and pleased.
angry/PrivateTest_14887556.jpg,sad,I felt disappointed and unhappy with the experience.
angry/PrivateTest_15489614.jpg,sad,This left me feeling down; it didn't meet my expectations.
angry/PrivateTest_15827448.jpg,angry,Very annoyed — this was unacceptable and angry-making.
angry/PrivateTest_15855670.jpg,neutral,A neutral experience overall; neither good nor bad.
angry/PrivateTest_1623042.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_16345756.jpg,neutral,A neutral experience overall; neither good nor bad.
angry/PrivateTest_16834914.jpg,happy,I had a wonderful time — everything was great and cheerful.
angry/PrivateTest_17503955.jpg,happy,This made my day; I felt very happy and pleased.
angry/PrivateTest_17952984.jpg,angry,I was upset by this and found it frustrating.
angry/PrivateTest_1809180.jpg,neutral,A neutral experience overall; neither good nor bad.
angry/PrivateTest_18151590.jpg,neutral,A neutral experience overall; neither good nor bad.
angry/PrivateTest_18347688.jpg,neutral,"It was okay — nothing special, but not bad either."
angry/PrivateTest_1850005.jpg,surprise,I was pleasantly surprised and didn't expect such results!
angry/PrivateTest_1862370.jpg,surprise,I was pleasantly surprised and didn't expect such results!
angry/PrivateTest_19041965.jpg,surprise,I was pleasantly surprised and didn't expect such results!
angry/PrivateTest_19160467.jpg,neutral,A neutral experience overall; neither good nor bad.
angry/PrivateTest_19212977.jpg,sad,I felt disappointed and unhappy with the experience.
